#### average run time for 64 samps.
      16       0.037470570312       0.000474561943
      32       0.111758179688       0.000253365412
      64       0.421581609375       0.000268821150
     128       1.721395492188       0.001148130418
     256       8.009291726563       0.006839506684
     512      47.059221234375       0.023724797467
    1024     244.644573367187       0.130213689889
    2048    1137.430187898437       0.609936324687
    4096    5317.645977007813       2.736293932003
    8192   26922.509860007813      35.713227236010
